1450604.063099999912,-1382944.644799999893
1450443.43339999998,-1382790.35859999992
1450380.819099999964,-1382847.858699999982
1450419.872999999905,-1383040.698000000091
1450525.333000000101,-1383298.695899999933
1450552.945800000103,-1383569.233299999963
1450577.23900000006,-1383868.749599999981
1450733.075600000098,-1384042.76640000008
1450909.295200000051,-1384194.531500000041
1451015.580899999943,-1384556.685099999886
1451034.732000000076,-1384923.393099999987
1450919.335800000001,-1385397.111000000034
1450964.689800000051,-1385579.436200000113
1451104.293899999931,-1385850.871199999936
1451264.751900000032,-1386251.681899999967
1451301.769400000107,-1386399.122699999949
1451198.058999999892,-1386393.90830000001
1451188.646299999906,-1386491.620300000068
1451185.442700000014,-1386558.477900000056
1451187.286899999948,-1386604.619699999923
1451223.789700000081,-1386675.03050000011
1451196.345599999884,-1386782.280999999959
1451144.618800000055,-1386860.273100000108
1451127.950999999885,-1386982.371299999999
1451112.043599999975,-1387074.493500000099
1451086.799300000072,-1387178.070599999977
1451097.6222000001,-1387273.736199999927
1450980.614999999991,-1387463.648100000108
1450613.484200000064,-1387744.705800000113
1450322.720399999991,-1388088.054000000004
1450082.199199999915,-1388594.368400000036
1449791.934600000037,-1389239.819499999983
1449720.060099999886,-1389838.700399999972
1449590.537199999904,-1390258.678499999922
1449281.751200000057,-1390490.812200000044
1449002.127300000051,-1390455.958399999887
1448748.571400000015,-1390194.532099999953
1448556.183999999892,-1390014.494600000093
1448329.91100000008,-1389982.447799999965
1448137.351999999955,-1390070.418300000019
1447901.736100000096,-1390279.339699999895
1447524.853499999968,-1390476.73760000011
1447248.825299999909,-1390823.26689999993
1446873.464900000021,-1391180.029799999902
1446724.158199999947,-1391357.943399999989
1446523.291600000113,-1391544.129399999976
1446439.573199999984,-1391687.1651000001
1446345.796799999895,-1391949.966000000015
1446299.733800000045,-1392220.835600000108
1446292.750299999956,-1392611.268500000006
1446206.003999999957,-1393042.021500000032
1446053.978399999905,-1393396.72900000005
1445765.199999999953,-1393808.75410000002
1445499.689999999944,-1394055.81110000005
1445287.345299999928,-1394117.38590000011
1444990.954099999974,-1394109.853700000094
1444731.654600000009,-1394147.484900000039
1444548.17109999992,-1394151.947200000053
1444571.374099999899,-1394184.512600000016
1444593.448899999959,-1394202.61260000011
1444609.172299999977,-1394210.899999999907
1444619.069200000027,-1394227.783400000073
1444637.823099999921,-1394243.86409999989
1444657.558299999917,-1394254.707500000019
1444699.560300000012,-1394288.699699999997
1444680.296199999982,-1394299.418499999912
1444617.923699999927,-1394265.507299999939
1444578.970699999947,-1394243.112900000066
1444417.54019999993,-1394137.244299999904
1444231.513000000035,-1394009.380399999907
1444205.962000000058,-1394048.723400000017
1444185.969599999953,-1394079.507299999939
1444281.383300000103,-1394249.133799999952
1444297.579300000099,-1394471.901099999901
1444391.616200000048,-1394693.751500000013
1444415.511200000066,-1394903.725099999923
1444263.322600000072,-1395170.800400000066
1444092.112299999921,-1395440.916600000113
1443786.489899999928,-1395663.213599999901
1443664.344599999953,-1395965.90419999999
1443413.219899999909,-1396589.696100000059
1443110.084199999925,-1397071.563199999975
1442729.436400000006,-1397952.916800000006
1442335.523400000064,-1398599.463500000071
1442375.067199999932,-1398968.67510000011
1442028.970900000073,-1399457.321100000059
1441420.125100000063,-1399797.287100000074
1440813.539799999911,-1399876.87229999993
1440362.7098999999,-1399740.90009999997
1440047.215099999914,-1399658.402699999977
1439810.368599999929,-1399701.991200000048
1439605.768699999899,-1399855.968200000003
1439431.11129999999,-1399953.167300000088
1439239.488499999978,-1400035.738399999915
1439109.795200000051,-1400200.855999999912
1438927.788500000024,-1400374.315600000089
1438844.102399999974,-1400491.648999999976
1438860.38870000001,-1400685.464500000002
1438813.427699999884,-1400941.357899999944
1438641.699400000041,-1401026.514299999923
1438378.078399999999,-1401085.882599999895
1438170.095100000035,-1401188.363200000022
1437861.23900000006,-1401208.713400000008
1437584.314199999906,-1401062.21809999994
1437211.121599999955,-1400954.159599999897
1436906.402999999933,-1400939.159400000004
1436547.669199999887,-1401013.624000000069
1436154.202700000023,-1401145.592200000072
1435822.631700000027,-1401360.114700000035
1435498.764800000004,-1401561.84309999994
1435273.4179,-1401674.058900000062
1435123.739300000016,-1401748.589799999958
1434708.792799999937,-1401837.693299999926
1434470.77649999992,-1401996.843399999896
1434232.907300000079,-1401942.241200000048
1434031.08070000005,-1401991.652699999977
1433731.443299999926,-1402039.275200000033
1433478.190600000089,-1402102.622399999993
1433358.495499999961,-1402300.700100000016
1433547.608699999982,-1402877.142500000075
1433659.695999999996,-1402876.661300000036
1433770.273300000001,-1402835.986400000053
1433880.23450000002,-1402760.751500000013
1433857.851400000043,-1402619.906500000041
1433783.147799999919,-1402487.375500000082
1433651.03469999996,-1402300.428599999985
1433701.227900000056,-1402217.362500000047
1433964.891300000018,-1402158.131199999945
1434175.399200000102,-1402193.985000000102
1434374.605599999893,-1402220.078599999892
